,A,Z,0,Schůze,Č. hl.,Klub,Total,M,N
0,74.0,2.0,2.0,1,1,ANO,78,0.0,0.0
1,24.0,0.0,1.0,1,1,ODS,25,0.0,0.0
2,22.0,0.0,0.0,1,1,Piráti,22,0.0,0.0
3,22.0,0.0,0.0,1,1,SPD,22,0.0,0.0
4,13.0,2.0,0.0,1,1,ČSSD,15,0.0,0.0
5,14.0,0.0,0.0,1,1,KSČM,15,1.0,0.0
6,9.0,1.0,0.0,1,1,KDU-ČSL,10,0.0,0.0
7,7.0,0.0,0.0,1,1,TOP09,7,0.0,0.0
8,6.0,0.0,0.0,1,1,STAN,6,0.0,0.0
10,75.0,2.0,1.0,1,2,ANO,78,0.0,0.0
11,25.0,0.0,0.0,1,2,ODS,25,0.0,0.0
12,22.0,0.0,0.0,1,2,Piráti,22,0.0,0.0
13,22.0,0.0,0.0,1,2,SPD,22,0.0,0.0
14,14.0,1.0,0.0,1,2,ČSSD,15,0.0,0.0
15,14.0,0.0,0.0,1,2,KSČM,15,1.0,0.0
16,9.0,1.0,0.0,1,2,KDU-ČSL,10,0.0,0.0
17,7.0,0.0,0.0,1,2,TOP09,7,0.0,0.0
18,6.0,0.0,0.0,1,2,STAN,6,0.0,0.0
20,0.0,1.0,1.0,1,3,ANO,78,0.0,76.0
21,21.0,3.0,0.0,1,3,ODS,25,0.0,1.0
22,0.0,0.0,0.0,1,3,Piráti,22,0.0,22.0
23,1.0,1.0,0.0,1,3,SPD,22,0.0,20.0
24,8.0,2.0,0.0,1,3,ČSSD,15,0.0,5.0
25,0.0,10.0,0.0,1,3,KSČM,15,1.0,4.0
26,10.0,0.0,0.0,1,3,KDU-ČSL,10,0.0,0.0
27,5.0,1.0,0.0,1,3,TOP09,7,0.0,1.0
28,5.0,1.0,0.0,1,3,STAN,6,0.0,0.0
30,0.0,1.0,0.0,1,4,ANO,78,0.0,77.0
31,8.0,13.0,0.0,1,4,ODS,25,0.0,4.0
32,22.0,0.0,0.0,1,4,Piráti,22,0.0,0.0
33,0.0,14.0,0.0,1,4,SPD,22,0.0,8.0
34,5.0,4.0,0.0,1,4,ČSSD,15,0.0,6.0
35,0.0,9.0,0.0,1,4,KSČM,15,1.0,5.0
36,10.0,0.0,0.0,1,4,KDU-ČSL,10,0.0,0.0
37,6.0,1.0,0.0,1,4,TOP09,7,0.0,0.0
38,5.0,1.0,0.0,1,4,STAN,6,0.0,0.0
40,77.0,1.0,0.0,1,5,ANO,78,0.0,0.0
41,25.0,0.0,0.0,1,5,ODS,25,0.0,0.0
42,0.0,4.0,0.0,1,5,Piráti,22,0.0,18.0
43,22.0,0.0,0.0,1,5,SPD,22,0.0,0.0
44,14.0,1.0,0.0,1,5,ČSSD,15,0.0,0.0
45,14.0,0.0,0.0,1,5,KSČM,15,1.0,0.0
46,10.0,0.0,0.0,1,5,KDU-ČSL,10,0.0,0.0
47,6.0,0.0,0.0,1,5,TOP09,7,0.0,1.0
48,6.0,0.0,0.0,1,5,STAN,6,0.0,0.0
50,78.0,0.0,0.0,1,6,ANO,78,0.0,0.0
51,25.0,0.0,0.0,1,6,ODS,25,0.0,0.0
52,20.0,0.0,1.0,1,6,Piráti,22,1.0,0.0
53,22.0,0.0,0.0,1,6,SPD,22,0.0,0.0
54,10.0,1.0,3.0,1,6,ČSSD,15,1.0,0.0
55,14.0,0.0,1.0,1,6,KSČM,15,0.0,0.0
56,8.0,0.0,2.0,1,6,KDU-ČSL,10,0.0,0.0
57,6.0,0.0,1.0,1,6,TOP09,7,0.0,0.0
58,6.0,0.0,0.0,1,6,STAN,6,0.0,0.0
60,78.0,0.0,0.0,1,7,ANO,78,0.0,0.0
61,0.0,1.0,1.0,1,7,ODS,25,0.0,23.0
62,0.0,0.0,0.0,1,7,Piráti,22,0.0,22.0
63,22.0,0.0,0.0,1,7,SPD,22,0.0,0.0
64,0.0,11.0,3.0,1,7,ČSSD,15,1.0,0.0
65,15.0,0.0,0.0,1,7,KSČM,15,0.0,0.0
66,0.0,0.0,0.0,1,7,KDU-ČSL,10,0.0,10.0
67,0.0,1.0,1.0,1,7,TOP09,7,0.0,5.0
68,0.0,0.0,0.0,1,7,STAN,6,0.0,6.0
70,75.0,3.0,0.0,1,8,ANO,78,0.0,0.0
71,25.0,0.0,0.0,1,8,ODS,25,0.0,0.0
72,20.0,1.0,0.0,1,8,Piráti,22,0.0,1.0
73,22.0,0.0,0.0,1,8,SPD,22,0.0,0.0
74,9.0,3.0,2.0,1,8,ČSSD,15,1.0,0.0
75,15.0,0.0,0.0,1,8,KSČM,15,0.0,0.0
76,10.0,0.0,0.0,1,8,KDU-ČSL,10,0.0,0.0
77,6.0,0.0,1.0,1,8,TOP09,7,0.0,0.0
78,6.0,0.0,0.0,1,8,STAN,6,0.0,0.0
80,3.0,7.0,1.0,1,9,ANO,78,1.0,66.0
81,24.0,0.0,1.0,1,9,ODS,25,0.0,0.0
82,22.0,0.0,0.0,1,9,Piráti,22,0.0,0.0
83,22.0,0.0,0.0,1,9,SPD,22,0.0,0.0
84,0.0,5.0,3.0,1,9,ČSSD,15,2.0,5.0
85,0.0,7.0,0.0,1,9,KSČM,15,0.0,8.0
86,10.0,0.0,0.0,1,9,KDU-ČSL,10,0.0,0.0
87,4.0,0.0,3.0,1,9,TOP09,7,0.0,0.0
88,6.0,0.0,0.0,1,9,STAN,6,0.0,0.0
90,76.0,0.0,1.0,1,10,ANO,78,1.0,0.0
91,18.0,5.0,1.0,1,10,ODS,25,0.0,1.0
92,22.0,0.0,0.0,1,10,Piráti,22,0.0,0.0
93,0.0,17.0,0.0,1,10,SPD,22,0.0,5.0
94,10.0,0.0,3.0,1,10,ČSSD,15,2.0,0.0
95,15.0,0.0,0.0,1,10,KSČM,15,0.0,0.0
96,3.0,3.0,0.0,1,10,KDU-ČSL,10,0.0,4.0
97,2.0,1.0,3.0,1,10,TOP09,7,0.0,1.0
98,0.0,1.0,0.0,1,10,STAN,6,0.0,5.0
100,66.0,7.0,5.0,1,11,ANO,78,0.0,0.0
101,19.0,6.0,0.0,1,11,ODS,25,0.0,0.0
102,19.0,0.0,3.0,1,11,Piráti,22,0.0,0.0
103,20.0,1.0,0.0,1,11,SPD,22,1.0,0.0
104,9.0,0.0,5.0,1,11,ČSSD,15,1.0,0.0
105,10.0,3.0,2.0,1,11,KSČM,15,0.0,0.0
106,7.0,2.0,0.0,1,11,KDU-ČSL,10,1.0,0.0
107,5.0,0.0,1.0,1,11,TOP09,7,1.0,0.0
108,6.0,0.0,0.0,1,11,STAN,6,0.0,0.0
110,74.0,3.0,1.0,1,12,ANO,78,0.0,0.0
111,23.0,2.0,0.0,1,12,ODS,25,0.0,0.0
112,21.0,0.0,1.0,1,12,Piráti,22,0.0,0.0
113,20.0,1.0,0.0,1,12,SPD,22,1.0,0.0
114,9.0,1.0,4.0,1,12,ČSSD,15,1.0,0.0
115,12.0,1.0,2.0,1,12,KSČM,15,0.0,0.0
116,8.0,1.0,0.0,1,12,KDU-ČSL,10,1.0,0.0
117,6.0,0.0,0.0,1,12,TOP09,7,1.0,0.0
118,6.0,0.0,0.0,1,12,STAN,6,0.0,0.0
120,74.0,3.0,1.0,1,13,ANO,78,0.0,0.0
121,23.0,2.0,0.0,1,13,ODS,25,0.0,0.0
122,19.0,2.0,1.0,1,13,Piráti,22,0.0,0.0
123,20.0,1.0,0.0,1,13,SPD,22,1.0,0.0
124,10.0,0.0,4.0,1,13,ČSSD,15,1.0,0.0
125,12.0,1.0,2.0,1,13,KSČM,15,0.0,0.0
126,8.0,1.0,0.0,1,13,KDU-ČSL,10,1.0,0.0
127,6.0,0.0,0.0,1,13,TOP09,7,1.0,0.0
128,6.0,0.0,0.0,1,13,STAN,6,0.0,0.0
130,75.0,2.0,1.0,1,14,ANO,78,0.0,0.0
131,24.0,1.0,0.0,1,14,ODS,25,0.0,0.0
132,21.0,0.0,1.0,1,14,Piráti,22,0.0,0.0
133,20.0,0.0,0.0,1,14,SPD,22,2.0,0.0
134,11.0,0.0,3.0,1,14,ČSSD,15,1.0,0.0
135,12.0,1.0,2.0,1,14,KSČM,15,0.0,0.0
136,8.0,1.0,0.0,1,14,KDU-ČSL,10,1.0,0.0
137,6.0,0.0,0.0,1,14,TOP09,7,1.0,0.0
138,6.0,0.0,0.0,1,14,STAN,6,0.0,0.0
140,76.0,1.0,1.0,1,15,ANO,78,0.0,0.0
141,25.0,0.0,0.0,1,15,ODS,25,0.0,0.0
142,22.0,0.0,0.0,1,15,Piráti,22,0.0,0.0
143,20.0,0.0,0.0,1,15,SPD,22,2.0,0.0
144,11.0,0.0,3.0,1,15,ČSSD,15,1.0,0.0
145,12.0,1.0,2.0,1,15,KSČM,15,0.0,0.0
146,8.0,1.0,0.0,1,15,KDU-ČSL,10,1.0,0.0
147,6.0,0.0,0.0,1,15,TOP09,7,1.0,0.0
148,6.0,0.0,0.0,1,15,STAN,6,0.0,0.0
150,72.0,4.0,2.0,1,16,ANO,78,0.0,0.0
151,25.0,0.0,0.0,1,16,ODS,25,0.0,0.0
152,22.0,0.0,0.0,1,16,Piráti,22,0.0,0.0
153,19.0,1.0,0.0,1,16,SPD,22,2.0,0.0
154,10.0,1.0,3.0,1,16,ČSSD,15,1.0,0.0
155,12.0,1.0,2.0,1,16,KSČM,15,0.0,0.0
156,8.0,1.0,0.0,1,16,KDU-ČSL,10,1.0,0.0
157,6.0,0.0,0.0,1,16,TOP09,7,1.0,0.0
158,3.0,3.0,0.0,1,16,STAN,6,0.0,0.0
160,71.0,2.0,4.0,2,1,ANO,78,1.0,0.0
161,24.0,1.0,0.0,2,1,ODS,25,0.0,0.0
162,21.0,0.0,0.0,2,1,Piráti,22,1.0,0.0
163,21.0,0.0,0.0,2,1,SPD,22,1.0,0.0
164,9.0,0.0,3.0,2,1,ČSSD,15,3.0,0.0
165,14.0,0.0,0.0,2,1,KSČM,15,1.0,0.0
166,8.0,0.0,1.0,2,1,KDU-ČSL,10,1.0,0.0
167,5.0,0.0,0.0,2,1,TOP09,7,2.0,0.0
168,6.0,0.0,0.0,2,1,STAN,6,0.0,0.0
170,75.0,0.0,2.0,2,2,ANO,78,1.0,0.0
171,25.0,0.0,0.0,2,2,ODS,25,0.0,0.0
172,19.0,2.0,0.0,2,2,Piráti,22,1.0,0.0
173,21.0,0.0,0.0,2,2,SPD,22,1.0,0.0
174,10.0,0.0,2.0,2,2,ČSSD,15,3.0,0.0
175,14.0,0.0,0.0,2,2,KSČM,15,1.0,0.0
176,8.0,0.0,1.0,2,2,KDU-ČSL,10,1.0,0.0
177,5.0,0.0,0.0,2,2,TOP09,7,2.0,0.0
178,6.0,0.0,0.0,2,2,STAN,6,0.0,0.0
180,75.0,0.0,2.0,2,3,ANO,78,1.0,0.0
181,25.0,0.0,0.0,2,3,ODS,25,0.0,0.0
182,21.0,0.0,0.0,2,3,Piráti,22,1.0,0.0
183,21.0,0.0,0.0,2,3,SPD,22,1.0,0.0
184,11.0,0.0,1.0,2,3,ČSSD,15,3.0,0.0
185,14.0,0.0,0.0,2,3,KSČM,15,1.0,0.0
186,8.0,0.0,1.0,2,3,KDU-ČSL,10,1.0,0.0
187,5.0,0.0,0.0,2,3,TOP09,7,2.0,0.0
188,6.0,0.0,0.0,2,3,STAN,6,0.0,0.0
190,73.0,3.0,1.0,2,4,ANO,78,1.0,0.0
191,23.0,2.0,0.0,2,4,ODS,25,0.0,0.0
192,22.0,0.0,0.0,2,4,Piráti,22,0.0,0.0
193,21.0,0.0,0.0,2,4,SPD,22,1.0,0.0
194,12.0,0.0,1.0,2,4,ČSSD,15,2.0,0.0
195,12.0,2.0,0.0,2,4,KSČM,15,1.0,0.0
196,8.0,1.0,0.0,2,4,KDU-ČSL,10,1.0,0.0
197,4.0,1.0,0.0,2,4,TOP09,7,2.0,0.0
198,6.0,0.0,0.0,2,4,STAN,6,0.0,0.0
200,72.0,4.0,1.0,2,5,ANO,78,1.0,0.0
201,23.0,2.0,0.0,2,5,ODS,25,0.0,0.0
202,22.0,0.0,0.0,2,5,Piráti,22,0.0,0.0
203,21.0,0.0,0.0,2,5,SPD,22,1.0,0.0
204,12.0,0.0,1.0,2,5,ČSSD,15,2.0,0.0
205,13.0,1.0,0.0,2,5,KSČM,15,1.0,0.0
206,8.0,1.0,0.0,2,5,KDU-ČSL,10,1.0,0.0
207,4.0,1.0,0.0,2,5,TOP09,7,2.0,0.0
208,6.0,0.0,0.0,2,5,STAN,6,0.0,0.0
210,72.0,4.0,1.0,2,6,ANO,78,1.0,0.0
211,23.0,2.0,0.0,2,6,ODS,25,0.0,0.0
212,22.0,0.0,0.0,2,6,Piráti,22,0.0,0.0
213,21.0,0.0,0.0,2,6,SPD,22,1.0,0.0
214,12.0,0.0,1.0,2,6,ČSSD,15,2.0,0.0
215,13.0,1.0,0.0,2,6,KSČM,15,1.0,0.0
216,8.0,1.0,0.0,2,6,KDU-ČSL,10,1.0,0.0
217,4.0,1.0,0.0,2,6,TOP09,7,2.0,0.0
218,6.0,0.0,0.0,2,6,STAN,6,0.0,0.0
220,74.0,2.0,1.0,2,7,ANO,78,1.0,0.0
221,23.0,2.0,0.0,2,7,ODS,25,0.0,0.0
222,22.0,0.0,0.0,2,7,Piráti,22,0.0,0.0
223,21.0,0.0,0.0,2,7,SPD,22,1.0,0.0
224,12.0,0.0,1.0,2,7,ČSSD,15,2.0,0.0
225,13.0,1.0,0.0,2,7,KSČM,15,1.0,0.0
226,7.0,2.0,0.0,2,7,KDU-ČSL,10,1.0,0.0
227,4.0,1.0,0.0,2,7,TOP09,7,2.0,0.0
228,6.0,0.0,0.0,2,7,STAN,6,0.0,0.0
230,74.0,2.0,1.0,2,8,ANO,78,1.0,0.0
231,24.0,1.0,0.0,2,8,ODS,25,0.0,0.0
232,22.0,0.0,0.0,2,8,Piráti,22,0.0,0.0
233,21.0,0.0,0.0,2,8,SPD,22,1.0,0.0
234,12.0,0.0,1.0,2,8,ČSSD,15,2.0,0.0
235,14.0,0.0,0.0,2,8,KSČM,15,1.0,0.0
236,7.0,2.0,0.0,2,8,KDU-ČSL,10,1.0,0.0
237,4.0,1.0,0.0,2,8,TOP09,7,2.0,0.0
238,6.0,0.0,0.0,2,8,STAN,6,0.0,0.0
240,74.0,2.0,1.0,2,9,ANO,78,1.0,0.0
241,24.0,1.0,0.0,2,9,ODS,25,0.0,0.0
242,22.0,0.0,0.0,2,9,Piráti,22,0.0,0.0
243,21.0,0.0,0.0,2,9,SPD,22,1.0,0.0
244,12.0,0.0,1.0,2,9,ČSSD,15,2.0,0.0
245,14.0,0.0,0.0,2,9,KSČM,15,1.0,0.0
246,7.0,2.0,0.0,2,9,KDU-ČSL,10,1.0,0.0
247,4.0,1.0,0.0,2,9,TOP09,7,2.0,0.0
248,6.0,0.0,0.0,2,9,STAN,6,0.0,0.0
250,74.0,2.0,1.0,2,10,ANO,78,1.0,0.0
251,24.0,1.0,0.0,2,10,ODS,25,0.0,0.0
252,22.0,0.0,0.0,2,10,Piráti,22,0.0,0.0
253,21.0,0.0,0.0,2,10,SPD,22,1.0,0.0
254,12.0,0.0,1.0,2,10,ČSSD,15,2.0,0.0
255,14.0,0.0,0.0,2,10,KSČM,15,1.0,0.0
256,8.0,1.0,0.0,2,10,KDU-ČSL,10,1.0,0.0
257,4.0,1.0,0.0,2,10,TOP09,7,2.0,0.0
258,6.0,0.0,0.0,2,10,STAN,6,0.0,0.0
260,73.0,3.0,1.0,2,11,ANO,78,1.0,0.0
261,24.0,1.0,0.0,2,11,ODS,25,0.0,0.0
262,22.0,0.0,0.0,2,11,Piráti,22,0.0,0.0
263,21.0,0.0,0.0,2,11,SPD,22,1.0,0.0
264,12.0,0.0,1.0,2,11,ČSSD,15,2.0,0.0
265,14.0,0.0,0.0,2,11,KSČM,15,1.0,0.0
266,8.0,1.0,0.0,2,11,KDU-ČSL,10,1.0,0.0
267,4.0,1.0,0.0,2,11,TOP09,7,2.0,0.0
268,6.0,0.0,0.0,2,11,STAN,6,0.0,0.0
270,74.0,2.0,1.0,2,12,ANO,78,1.0,0.0
271,24.0,1.0,0.0,2,12,ODS,25,0.0,0.0
272,22.0,0.0,0.0,2,12,Piráti,22,0.0,0.0
273,21.0,0.0,0.0,2,12,SPD,22,1.0,0.0
274,12.0,0.0,1.0,2,12,ČSSD,15,2.0,0.0
275,14.0,0.0,0.0,2,12,KSČM,15,1.0,0.0
276,9.0,0.0,0.0,2,12,KDU-ČSL,10,1.0,0.0
277,4.0,1.0,0.0,2,12,TOP09,7,2.0,0.0
278,6.0,0.0,0.0,2,12,STAN,6,0.0,0.0
280,74.0,2.0,1.0,2,13,ANO,78,1.0,0.0
281,22.0,2.0,0.0,2,13,ODS,25,0.0,1.0
282,20.0,2.0,0.0,2,13,Piráti,22,0.0,0.0
283,21.0,0.0,0.0,2,13,SPD,22,1.0,0.0
284,12.0,0.0,1.0,2,13,ČSSD,15,2.0,0.0
285,14.0,0.0,0.0,2,13,KSČM,15,1.0,0.0
286,9.0,0.0,0.0,2,13,KDU-ČSL,10,1.0,0.0
287,3.0,2.0,0.0,2,13,TOP09,7,2.0,0.0
288,6.0,0.0,0.0,2,13,STAN,6,0.0,0.0
290,74.0,2.0,1.0,2,14,ANO,78,1.0,0.0
291,24.0,1.0,0.0,2,14,ODS,25,0.0,0.0
292,22.0,0.0,0.0,2,14,Piráti,22,0.0,0.0
293,21.0,0.0,0.0,2,14,SPD,22,1.0,0.0
294,12.0,0.0,1.0,2,14,ČSSD,15,2.0,0.0
295,14.0,0.0,0.0,2,14,KSČM,15,1.0,0.0
296,9.0,0.0,0.0,2,14,KDU-ČSL,10,1.0,0.0
297,4.0,1.0,0.0,2,14,TOP09,7,2.0,0.0
298,6.0,0.0,0.0,2,14,STAN,6,0.0,0.0
300,73.0,3.0,1.0,2,15,ANO,78,1.0,0.0
301,24.0,1.0,0.0,2,15,ODS,25,0.0,0.0
302,22.0,0.0,0.0,2,15,Piráti,22,0.0,0.0
303,21.0,0.0,0.0,2,15,SPD,22,1.0,0.0
304,12.0,0.0,1.0,2,15,ČSSD,15,2.0,0.0
305,14.0,0.0,0.0,2,15,KSČM,15,1.0,0.0
306,9.0,0.0,0.0,2,15,KDU-ČSL,10,1.0,0.0
307,4.0,1.0,0.0,2,15,TOP09,7,2.0,0.0
308,6.0,0.0,0.0,2,15,STAN,6,0.0,0.0
310,73.0,3.0,1.0,2,16,ANO,78,1.0,0.0
311,25.0,0.0,0.0,2,16,ODS,25,0.0,0.0
312,22.0,0.0,0.0,2,16,Piráti,22,0.0,0.0
313,21.0,0.0,0.0,2,16,SPD,22,1.0,0.0
314,12.0,0.0,1.0,2,16,ČSSD,15,2.0,0.0
315,14.0,0.0,0.0,2,16,KSČM,15,1.0,0.0
316,9.0,0.0,0.0,2,16,KDU-ČSL,10,1.0,0.0
317,4.0,1.0,0.0,2,16,TOP09,7,2.0,0.0
318,6.0,0.0,0.0,2,16,STAN,6,0.0,0.0
320,74.0,2.0,1.0,2,17,ANO,78,1.0,0.0
321,25.0,0.0,0.0,2,17,ODS,25,0.0,0.0
322,22.0,0.0,0.0,2,17,Piráti,22,0.0,0.0
323,21.0,0.0,0.0,2,17,SPD,22,1.0,0.0
324,12.0,0.0,1.0,2,17,ČSSD,15,2.0,0.0
325,14.0,0.0,0.0,2,17,KSČM,15,1.0,0.0
326,9.0,0.0,0.0,2,17,KDU-ČSL,10,1.0,0.0
327,4.0,1.0,0.0,2,17,TOP09,7,2.0,0.0
328,6.0,0.0,0.0,2,17,STAN,6,0.0,0.0
330,73.0,3.0,1.0,2,18,ANO,78,1.0,0.0
331,24.0,1.0,0.0,2,18,ODS,25,0.0,0.0
332,22.0,0.0,0.0,2,18,Piráti,22,0.0,0.0
333,21.0,0.0,0.0,2,18,SPD,22,1.0,0.0
334,12.0,0.0,1.0,2,18,ČSSD,15,2.0,0.0
335,14.0,0.0,0.0,2,18,KSČM,15,1.0,0.0
336,9.0,0.0,0.0,2,18,KDU-ČSL,10,1.0,0.0
337,4.0,1.0,0.0,2,18,TOP09,7,2.0,0.0
338,6.0,0.0,0.0,2,18,STAN,6,0.0,0.0
340,74.0,2.0,1.0,2,19,ANO,78,1.0,0.0
341,25.0,0.0,0.0,2,19,ODS,25,0.0,0.0
342,22.0,0.0,0.0,2,19,Piráti,22,0.0,0.0
343,21.0,0.0,0.0,2,19,SPD,22,1.0,0.0
344,12.0,0.0,1.0,2,19,ČSSD,15,2.0,0.0
345,12.0,2.0,0.0,2,19,KSČM,15,1.0,0.0
346,9.0,0.0,0.0,2,19,KDU-ČSL,10,1.0,0.0
347,4.0,1.0,0.0,2,19,TOP09,7,2.0,0.0
348,6.0,0.0,0.0,2,19,STAN,6,0.0,0.0
350,74.0,2.0,1.0,2,20,ANO,78,1.0,0.0
351,25.0,0.0,0.0,2,20,ODS,25,0.0,0.0
352,22.0,0.0,0.0,2,20,Piráti,22,0.0,0.0
353,21.0,0.0,0.0,2,20,SPD,22,1.0,0.0
354,12.0,0.0,1.0,2,20,ČSSD,15,2.0,0.0
355,14.0,0.0,0.0,2,20,KSČM,15,1.0,0.0
356,9.0,0.0,0.0,2,20,KDU-ČSL,10,1.0,0.0
357,4.0,1.0,0.0,2,20,TOP09,7,2.0,0.0
358,6.0,0.0,0.0,2,20,STAN,6,0.0,0.0
360,69.0,6.0,2.0,2,21,ANO,78,1.0,0.0
361,19.0,6.0,0.0,2,21,ODS,25,0.0,0.0
362,16.0,4.0,1.0,2,21,Piráti,22,1.0,0.0
363,21.0,0.0,0.0,2,21,SPD,22,1.0,0.0
364,8.0,3.0,1.0,2,21,ČSSD,15,3.0,0.0
365,12.0,2.0,0.0,2,21,KSČM,15,1.0,0.0
366,9.0,0.0,0.0,2,21,KDU-ČSL,10,1.0,0.0
367,5.0,0.0,0.0,2,21,TOP09,7,2.0,0.0
368,5.0,1.0,0.0,2,21,STAN,6,0.0,0.0
370,2.0,68.0,6.0,2,22,ANO,78,2.0,0.0
371,0.0,23.0,2.0,2,22,ODS,25,0.0,0.0
372,16.0,4.0,1.0,2,22,Piráti,22,1.0,0.0
373,0.0,20.0,1.0,2,22,SPD,22,1.0,0.0
374,8.0,0.0,3.0,2,22,ČSSD,15,4.0,0.0
375,0.0,12.0,2.0,2,22,KSČM,15,1.0,0.0
376,3.0,6.0,0.0,2,22,KDU-ČSL,10,1.0,0.0
377,4.0,1.0,0.0,2,22,TOP09,7,2.0,0.0
378,5.0,1.0,0.0,2,22,STAN,6,0.0,0.0
380,2.0,69.0,5.0,2,23,ANO,78,2.0,0.0
381,0.0,23.0,2.0,2,23,ODS,25,0.0,0.0
382,21.0,0.0,0.0,2,23,Piráti,22,1.0,0.0
383,0.0,21.0,0.0,2,23,SPD,22,1.0,0.0
384,8.0,0.0,3.0,2,23,ČSSD,15,4.0,0.0
385,0.0,12.0,2.0,2,23,KSČM,15,1.0,0.0
386,4.0,5.0,0.0,2,23,KDU-ČSL,10,1.0,0.0
387,5.0,0.0,0.0,2,23,TOP09,7,2.0,0.0
388,5.0,1.0,0.0,2,23,STAN,6,0.0,0.0
390,62.0,10.0,4.0,2,24,ANO,78,2.0,0.0
391,0.0,23.0,2.0,2,24,ODS,25,0.0,0.0
392,0.0,20.0,0.0,2,24,Piráti,22,1.0,1.0
393,21.0,0.0,0.0,2,24,SPD,22,1.0,0.0
394,0.0,8.0,3.0,2,24,ČSSD,15,4.0,0.0
395,10.0,2.0,2.0,2,24,KSČM,15,1.0,0.0
396,0.0,9.0,0.0,2,24,KDU-ČSL,10,1.0,0.0
397,0.0,3.0,0.0,2,24,TOP09,7,2.0,2.0
398,0.0,6.0,0.0,2,24,STAN,6,0.0,0.0
400,66.0,8.0,2.0,2,25,ANO,78,2.0,0.0
401,1.0,21.0,3.0,2,25,ODS,25,0.0,0.0
402,0.0,1.0,0.0,2,25,Piráti,22,1.0,20.0
403,21.0,0.0,0.0,2,25,SPD,22,1.0,0.0
404,1.0,5.0,3.0,2,25,ČSSD,15,4.0,2.0
405,12.0,1.0,1.0,2,25,KSČM,15,1.0,0.0
406,0.0,8.0,0.0,2,25,KDU-ČSL,10,1.0,1.0
407,0.0,2.0,0.0,2,25,TOP09,7,2.0,3.0
408,0.0,3.0,0.0,2,25,STAN,6,0.0,3.0
410,73.0,2.0,1.0,2,26,ANO,78,2.0,0.0
411,16.0,6.0,3.0,2,26,ODS,25,0.0,0.0
412,20.0,1.0,0.0,2,26,Piráti,22,1.0,0.0
413,21.0,0.0,0.0,2,26,SPD,22,1.0,0.0
414,9.0,1.0,1.0,2,26,ČSSD,15,4.0,0.0
415,14.0,0.0,0.0,2,26,KSČM,15,1.0,0.0
416,9.0,0.0,0.0,2,26,KDU-ČSL,10,1.0,0.0
417,1.0,3.0,0.0,2,26,TOP09,7,2.0,1.0
418,6.0,0.0,0.0,2,26,STAN,6,0.0,0.0
420,74.0,2.0,1.0,2,27,ANO,78,1.0,0.0
421,0.0,7.0,3.0,2,27,ODS,25,0.0,15.0
422,1.0,2.0,0.0,2,27,Piráti,22,1.0,18.0
423,21.0,0.0,0.0,2,27,SPD,22,1.0,0.0
424,0.0,1.0,1.0,2,27,ČSSD,15,4.0,9.0
425,12.0,2.0,0.0,2,27,KSČM,15,1.0,0.0
426,0.0,0.0,0.0,2,27,KDU-ČSL,10,1.0,9.0
427,0.0,2.0,0.0,2,27,TOP09,7,2.0,3.0
428,0.0,0.0,0.0,2,27,STAN,6,0.0,6.0
430,0.0,76.0,1.0,2,28,ANO,78,1.0,0.0
431,1.0,21.0,3.0,2,28,ODS,25,0.0,0.0
432,0.0,21.0,0.0,2,28,Piráti,22,1.0,0.0
433,0.0,21.0,0.0,2,28,SPD,22,1.0,0.0
434,0.0,10.0,1.0,2,28,ČSSD,15,4.0,0.0
435,0.0,14.0,0.0,2,28,KSČM,15,1.0,0.0
436,0.0,9.0,0.0,2,28,KDU-ČSL,10,1.0,0.0
437,0.0,5.0,0.0,2,28,TOP09,7,2.0,0.0
438,1.0,5.0,0.0,2,28,STAN,6,0.0,0.0
440,2.0,7.0,3.0,2,29,ANO,78,2.0,64.0
441,18.0,0.0,7.0,2,29,ODS,25,0.0,0.0
442,20.0,0.0,1.0,2,29,Piráti,22,1.0,0.0
443,0.0,0.0,0.0,2,29,SPD,22,1.0,21.0
444,9.0,0.0,2.0,2,29,ČSSD,15,4.0,0.0
445,1.0,5.0,0.0,2,29,KSČM,15,1.0,8.0
446,9.0,0.0,0.0,2,29,KDU-ČSL,10,1.0,0.0
447,4.0,0.0,1.0,2,29,TOP09,7,2.0,0.0
448,5.0,1.0,0.0,2,29,STAN,6,0.0,0.0
450,73.0,1.0,2.0,2,30,ANO,78,2.0,0.0
451,0.0,2.0,7.0,2,30,ODS,25,0.0,16.0
452,0.0,4.0,1.0,2,30,Piráti,22,1.0,16.0
453,21.0,0.0,0.0,2,30,SPD,22,1.0,0.0
454,0.0,6.0,2.0,2,30,ČSSD,15,4.0,3.0
455,14.0,0.0,0.0,2,30,KSČM,15,1.0,0.0
456,0.0,1.0,0.0,2,30,KDU-ČSL,10,1.0,8.0
457,0.0,0.0,1.0,2,30,TOP09,7,2.0,4.0
458,0.0,0.0,0.0,2,30,STAN,6,0.0,6.0
460,3.0,3.0,3.0,2,31,ANO,78,1.0,68.0
461,18.0,0.0,7.0,2,31,ODS,25,0.0,0.0
462,20.0,0.0,1.0,2,31,Piráti,22,1.0,0.0
463,0.0,0.0,0.0,2,31,SPD,22,1.0,21.0
464,7.0,2.0,2.0,2,31,ČSSD,15,4.0,0.0
465,0.0,6.0,0.0,2,31,KSČM,15,1.0,8.0
466,9.0,0.0,0.0,2,31,KDU-ČSL,10,1.0,0.0
