region;language;types;count
NZ;en;imdbDisplay;2814
UY;\N;video;43
IN;ur;\N;52
US;\N;original;5
MK;\N;imdbDisplay;141
GH;\N;\N;332
LY;\N;\N;48
MY;cmn;imdbDisplay;611
XWW;la;alternative;6
IN;en;imdbDisplay;28800
CH;de;working;41
ES;eu;\N;30
TR;tr;festivalimdbDisplay;68
TZ;\N;\N;129
RU;\N;tv;7
KN;\N;\N;2
AT;\N;imdbDisplay;4081
RO;\N;working;87
BE;nl;video;1
CH;de;video;5
CN;cmn;dvd;11
AZ;\N;alternative;13
BZ;\N;\N;28
FR;qal;imdbDisplay;1
IN;te;dvd;1
IN;kn;working;3
MN;mn;imdbDisplay;4
TV;\N;\N;1
ZA;xh;\N;2
SUHH;az;working;2
MA;fr;festival;2
BE;en;imdbDisplay;135
LT;lt;imdbDisplay;6
CU;\N;working;4
VN;\N;alternative;51
MD;\N;video;2
BH;\N;\N;111
QA;\N;\N;356
BG;bg;working;2
EE;\N;\N;2503
BG;bg;\N;261
MX;es;imdbDisplay;17
CN;cmn;alternative;341
CH;en;imdbDisplay;42
BO;\N;tv;1
DE;de;dvd;2
SD;ar;imdbDisplay;1
SUHH;ru;\N;920
SG;\N;\N;2124
TR;tr;imdbDisplayvideo;27
MA;fr;imdbDisplay;64
CA;fr;dvd;76
IN;ta;dvd;1
CN;yue;dvd;2
PT;\N;\N;22719
LB;ar;\N;39
ES;es;dvd;2
HK;yue;working;23
VN;\N;festival;58
PK;en;alternative;41
CN;en;imdbDisplay;15
CM;fr;\N;9
LU;fr;\N;31
IR;fa;\N;345
PH;tl;imdbDisplay;75
HK;en;dvd;53
FJ;\N;\N;34
TW;\N;imdbDisplay;13309
NO;\N;imdbDisplay;12052
NO;\N;video;198
IN;hi;alternative;249
XYU;mk;imdbDisplay;42
MK;\N;\N;454
TT;\N;working;1
TO;\N;\N;10
DDDE;en;\N;1
CA;iu;dvd;1
DE;\N;\N;96017
FR;\N;imdbDisplay;43173
GB;\N;working;1532
XWG;\N;imdbDisplay;7004
BE;de;\N;117
IE;\N;\N;8785
SUHH;tg;imdbDisplay;5
IN;mr;working;3
BA;hr;\N;22
MR;\N;\N;14
BE;en;festival;11
SG;ms;\N;2
YUCS;qbo;alternative;3
XEU;\N;\N;133
LB;\N;\N;1194
CA;en;dvd;107
GY;\N;\N;15
SV;\N;imdbDisplay;13
MY;ms;alternative;12
EG;en;dvd;1
BN;\N;\N;17
CN;\N;working;2
ES;ca;imdbDisplay;827
DE;\N;video;474
XWW;en;video;286
BE;en;tv;3
ZA;en;dvd;6
PH;en;festival;15
GF;\N;\N;2
XWW;en;\N;60016
PT;\N;festival;219
TR;tr;alternativetv;9
FR;fr;working;7
SUHH;ka;festival;2
ML;\N;\N;62
BT;\N;\N;50
XKO;\N;alternative;6
OM;\N;\N;29
ST;\N;\N;6
PH;es;alternative;6
SI;sk;imdbDisplay;1
AU;\N;imdbDisplay;27280
HK;en;working;194
ES;\N;festival;75
CO;\N;video;2
ID;en;alternative;99
CN;zh;imdbDisplay;2
XSA;es;dvd;1
PY;es;alternative;3
LB;ar;festival;1
EG;\N;\N;4308
IT;\N;video;381
MY;en;imdbDisplay;105
SN;fr;imdbDisplay;33
CU;\N;festival;8
HU;hu;\N;3
UY;\N;working;6
DK;\N;alternative;741
BE;\N;\N;11832
EC;\N;imdbDisplay;67
HK;cmn;festival;5
BD;en;alternative;151
AU;en;imdbDisplay;4
IT;\N;tv;551
UA;\N;\N;2846
AR;es;\N;6
CN;cmn;imdbDisplay;4367
LU;fr;tv;3
CA;en;tv;32
ZA;en;alternative;83
CL;\N;video;39
LV;\N;working;10
US;en;working;118
BF;\N;festival;1
VG;\N;\N;9
US;en;imdbDisplay;282
BE;\N;tv;6
SG;cmn;alternative;17
ES;qbp;alternative;6
SUHH;lt;alternative;1
SUHH;uk;imdbDisplay;206
XWW;\N;alternative;134
IN;mr;video;1
\N;\N;alternativedvd;1
AE;en;imdbDisplay;1
US;yi;alternative;40
MD;\N;\N;124
HK;cmn;\N;1122
NE;\N;\N;52
IN;gu;working;1
BO;\N;working;1
ZA;zu;\N;5
DDDE;\N;tv;253
US;es;\N;239
BE;en;video;59
CH;en;dvd;3
TH;th;\N;97
KP;\N;\N;558
HK;\N;imdbDisplay;6
BD;bn;imdbDisplay;14
SUHH;lv;alternative;3
IL;ar;working;1
ZA;es;imdbDisplay;1
TN;fr;alternative;19
CA;qac;imdbDisplay;1
CN;yue;imdbDisplay;140
BA;\N;imdbDisplay;1
CN;\N;alternative;1
UZ;\N;tv;1
BE;qbn;alternative;75
SUHH;yi;\N;1
SI;\N;tv;27
PE;\N;alternative;41
MZ;\N;\N;98
LU;fr;alternative;4
HR;\N;working;15
XWW;\N;video;1
IL;en;dvd;2
HK;yue;festival;6
GB;\N;original;1
FI;\N;imdbDisplay;13144
PR;\N;\N;1382
US;\N;tvworking;4
SG;en;\N;296
DJ;\N;\N;2
DZ;ar;tv;1
TR;tr;alternativefestival;2
CI;\N;imdbDisplay;3
XWW;hu;\N;1
RS;\N;imdbDisplay;15934
IT;\N;alternative;1618
AT;\N;alternative;367
IR;fa;alternative;129
CN;yue;alternative;24
US;en;original;3
HR;\N;imdbDisplay;6765
BR;pt;imdbDisplay;22
DE;de;tv;1
CSHH;sk;\N;71
TR;tr;dvd;184
HK;cmn;alternative;335
NG;\N;\N;4685
JO;\N;\N;312
US;es;video;6
PH;tl;video;5
ME;\N;imdbDisplay;1
MX;\N;dvd;224
SUHH;uk;alternative;28
IL;he;working;25
DE;\N;tvvideo;1
NL;nl;tv;4
DE;en;dvd;1
ZA;zu;alternative;4
JP;ja;tv;18
TN;ar;\N;133
FI;sv;dvd;11
ES;ca;festival;4
EC;es;imdbDisplay;1
BR;\N;\N;35841
GR;\N;\N;41585
CZ;cs;\N;1
AU;en;\N;1330
HK;en;video;58
VN;\N;video;3
RU;\N;working;161
MD;\N;festival;2
CZ;en;working;1
XSA;\N;\N;1
GE;\N;alternative;26
SUHH;ka;alternative;3
HK;yue;imdbDisplay;1636
TW;\N;\N;4361
VE;\N;tv;17
SG;cmn;\N;53
NL;nl;video;18
MC;\N;imdbDisplay;38
IS;\N;working;12
MN;\N;\N;201
MK;\N;alternative;8
ID;en;dvd;2
XWW;es;festival;46
JP;jv;\N;1
ES;gl;working;2
CSHH;cs;\N;409
NL;nl;\N;286
PL;\N;alternative;1240
DE;de;festival;2
IL;\N;imdbDisplay;4
AL;\N;tv;42
SUHH;ro;\N;3
\N;\N;imdbDisplayworking;2
AM;\N;festival;1
SUHH;ru;imdbDisplay;26303
HR;\N;dvd;25
LT;\N;\N;883
BO;\N;video;2
XSA;es;video;2
PH;la;alternative;3
TH;th;dvd;1
FR;br;\N;1
MN;\N;working;2
KR;\N;working;69
MA;ar;imdbDisplay;18
AZ;\N;working;3
IR;\N;imdbDisplay;2
LB;fr;alternative;4
KW;\N;alternative;1
HU;\N;dvd;66
UZ;\N;imdbDisplay;14
BE;en;dvd;16
NG;en;imdbDisplay;16
XYU;\N;\N;7613
SG;cmn;imdbDisplay;640
TN;ar;imdbDisplay;32
IE;en;video;1
AZ;\N;festival;1
CH;rm;\N;1
AL;\N;festival;2
